0.814720	0.655740	0.438740	0.751270	0.351660
0.905790	0.035712	0.381560	0.255100	0.830830
0.126990	0.849130	0.765520	0.505960	0.585260
0.913380	0.933990	0.795200	0.699080	0.549720
0.632360	0.678740	0.186870	0.890900	0.917190
0.097540	0.757740	0.489760	0.959290	0.285840
0.278500	0.743130	0.445590	0.547220	0.757200
0.546880	0.392230	0.646310	0.138620	0.753730
0.957510	0.655480	0.709360	0.149290	0.380450
0.964890	0.171190	0.754690	0.257510	0.567820
0.157610	0.706050	0.276030	0.840720	0.075854
0.970590	0.031833	0.679700	0.254280	0.053950
0.957170	0.276920	0.655100	0.814280	0.530800
0.485380	0.046171	0.162610	0.243520	0.779170
0.800280	0.097132	0.119000	0.929260	0.934010
0.141890	0.823460	0.498360	0.349980	0.129910
0.421760	0.694830	0.959740	0.196600	0.568820
0.915740	0.317100	0.340390	0.251080	0.469390
0.792210	0.950220	0.585270	0.616040	0.011902
0.959490	0.034446	0.223810	0.473290	0.337120
