0.81472,0.65574,0.43874,0.75127,0.35166
0.90579,0.035712,0.38156,0.2551,0.83083
0.12699,0.84913,0.76552,0.50596,0.58526
0.91338,0.93399,0.7952,0.69908,0.54972
0.63236,0.67874,0.18687,0.8909,0.91719
0.09754,0.75774,0.48976,0.95929,0.28584
0.2785,0.74313,0.44559,0.54722,0.7572
0.54688,0.39223,0.64631,0.13862,0.75373
0.95751,0.65548,0.70936,0.14929,0.38045
0.96489,0.17119,0.75469,0.25751,0.56782
0.15761,0.70605,0.27603,0.84072,0.075854
0.97059,0.031833,0.6797,0.25428,0.05395
0.95717,0.27692,0.6551,0.81428,0.5308
0.48538,0.046171,0.16261,0.24352,0.77917
0.80028,0.097132,0.119,0.92926,0.93401
0.14189,0.82346,0.49836,0.34998,0.12991
0.42176,0.69483,0.95974,0.1966,0.56882
0.91574,0.3171,0.34039,0.25108,0.46939
0.79221,0.95022,0.58527,0.61604,0.011902
0.95949,0.034446,0.22381,0.47329,0.33712
